Code, Name
BBWHDU,    Black-bellied Whistling-Duck
FUWHDU,    Fulvous Whistling-Duck
TABEGO,    Taiga Bean-Goose
TUBEGO,    Tundra Bean-Goose
PIFOGO,    Pink-footed Goose
GRAGOO,    Graylag Goose
GWFRGO,    Greater White-fronted Goose
LWFRGO,    Lesser White-fronted Goose
EMPGOO,    Emperor Goose
SNOGOO,    Snow Goose
ROSGOO,    Ross's Goose
BRANT ,    Brant
BARGOO,    Barnacle Goose
CACGOO,    Cackling Goose
CANGOO,    Canada Goose
MUTSWA,    Mute Swan
TRUSWA,    Trumpeter Swan
TUNSWA,    Tundra Swan
WHOSWA,    Whooper Swan
MUSDUC,    Muscovy Duck
WOODUC,    Wood Duck
GADWAL,    Gadwall
FALDUC,    Falcated Duck
EURWIG,    Eurasian Wigeon
AMEWIG,    American Wigeon
AMBLDU,    American Black Duck
MALLAR,    Mallard
MOTDUC,    Mottled Duck
ESBIDU,    Eastern Spot-billed Duck
BLWITE,    Blue-winged Teal
CINTEA,    Cinnamon Teal
NORSHO,    Northern Shoveler
WHCHPI,    White-cheeked Pintail
NORPIN,    Northern Pintail
GARGAN,    Garganey
BAITEA,    Baikal Teal
GRWITE,    Green-winged Teal
CANVAS,    Canvasback
REDHEA,    Redhead
COMPOC,    Common Pochard
RINEDU,    Ring-necked Duck
TUFDUC,    Tufted Duck
GRESCA,    Greater Scaup
LESSCA,    Lesser Scaup
STEEID,    Steller's Eider
SPEEID,    Spectacled Eider
KINEID,    King Eider
COMEID,    Common Eider
HARDUC,    Harlequin Duck
LABDUC,    Labrador Duck
SURSCO,    Surf Scoter
WHWISC,    White-winged Scoter
BLASCO,    Black Scoter
LOTADU,    Long-tailed Duck
BUFFLE,    Bufflehead
COMGOL,    Common Goldeneye
BARGOL,    Barrow's Goldeneye
SMEW  ,    Smew  
HOOMER,    Hooded Merganser
COMMER,    Common Merganser
REBRME,    Red-breasted Merganser
MASDUC,    Masked Duck
RUDDUC,    Ruddy Duck
PLACHA,    Plain Chachalaca
CHUKAR,    Chukar
HIMSNO,    Himalayan Snowcock
GRAPAR,    Gray Partridge
RINEPH,    Ring-necked Pheasant
RUFGRO,    Ruffed Grouse
GRSAGR,    Greater Sage-Grouse
GUSAGR,    Gunnison Sage-Grouse
SPRGRO,    Spruce Grouse
WILPTA,    Willow Ptarmigan
ROCPTA,    Rock Ptarmigan
WHTAPT,    White-tailed Ptarmigan
DUSGRO,    Dusky Grouse
SOOGRO,    Sooty Grouse
SHTAGR,    Sharp-tailed Grouse
GRPRCH,    Greater Prairie-Chicken
LEPRCH,    Lesser Prairie-Chicken
WILTUR,    Wild Turkey
MOUQUA,    Mountain Quail
SCAQUA,    Scaled Quail
CALQUA,    California Quail
GAMQUA,    Gambel's Quail
NORBOB,    Northern Bobwhite
MONQUA,    Montezuma Quail
RETHLO,    Red-throated Loon
ARCLOO,    Arctic Loon
PACLOO,    Pacific Loon
COMLOO,    Common Loon
YEBILO,    Yellow-billed Loon
LEAGRE,    Least Grebe
PIBIGR,    Pied-billed Grebe
HORGRE,    Horned Grebe
RENEGR,    Red-necked Grebe
EARGRE,    Eared Grebe
WESGRE,    Western Grebe
CLAGRE,    Clark's Grebe
AMEFLA,    American Flamingo
YENOAL,    Yellow-nosed Albatross
SHYALB,    Shy Albatross
BLBRAL,    Black-browed Albatross
LIMAAL,    Light-mantled Albatross
WANALB,    Wandering Albatross
LAYALB,    Laysan Albatross
BLFOAL,    Black-footed Albatross
SHTAAL,    Short-tailed Albatross
NORFUL,    Northern Fulmar
GRWIPE,    Great-winged Petrel
HERPET,    Herald Petrel
MURPET,    Murphy's Petrel
MOTPET,    Mottled Petrel
BERPET,    Bermuda Petrel
BLCAPE,    Black-capped Petrel
FEAPET,    Fea's/Zino's Petrel
GALPET,    Galapagos/Hawaiian Petrel
COOPET,    Cook's Petrel
STEPET,    Stejneger's Petrel
BULPET,    Bulwer's Petrel
WHCHPE,    White-chinned Petrel
PARPET,    Parkinson's Petrel
STRSHE,    Streaked Shearwater
CORSHE,    Cory's Shearwater
CAVESH,    Cape Verde Shearwater
PIFOSH,    Pink-footed Shearwater
FLFOSH,    Flesh-footed Shearwater
GRESHE,    Great Shearwater
WETASH,    Wedge-tailed Shearwater
BULSHE,    Buller's Shearwater
SOOSHE,    Sooty Shearwater
SHTASH,    Short-tailed Shearwater
MANSHE,    Manx Shearwater
TOWSHE,    Townsend's Shearwater
BLVESH,    Black-vented Shearwater
AUDSHE,    Audubon's Shearwater
LITSHE,    Little Shearwater
WISTPE,    Wilson's Storm-Petrel
WFSTPE,    White-faced Storm-Petrel
BBSTPE,    Black-bellied Storm-Petrel
EUSTPE,    European Storm-Petrel
